Brand,Bike_Name,CC,Mileage,Power,Weight,Price,Rating
bajaj,Bajaj Pulsar N160 2V,164.82,47.0,15.68,148.0,122990.0,4.6
bajaj,Bajaj Pulsar NS400Z,349.13,32.0,40.04,176.0,186150.0,4.5
bajaj,Bajaj Pulsar NS200,199.5,36.0,24.13,158.0,139279.0,4.7
bajaj,Bajaj Pulsar N160 4V,164.5,47.5,18.24,151.0,134479.0,4.5
bajaj,Bajaj Pulsar 125,124.4,50.0,11.8,168.79208633093526,93507.0,3.4
bajaj,Bajaj Chetak,120.015,70.0,3.1,168.79208633093526,119056.0,3.7
bajaj,Bajaj Pulsar NS125,124.45,50.0,11.8,144.0,94043.0,4.5
bajaj,Bajaj Dominar 400,349.13,30.0,40.04,190.0,208330.0,4.5
bajaj,Bajaj Pulsar 150,149.5,47.0,14.0,168.79208633093526,115300.0,3.5
bajaj,Bajaj Pulsar N250,249.0,40.0,24.1,164.0,145487.0,4.5
bajaj,Bajaj Pulsar NS160,160.3,44.0,17.03,152.0,126819.0,4.6
bajaj,Bajaj Pulsar RS 200,199.5,35.0,24.1,167.0,180863.0,4.7
bajaj,Bajaj Pulsar 220F,220.0,43.0,20.11,160.0,139686.0,4.3
bajaj,Bajaj Dominar 250,248.8,32.0,26.63,180.0,186825.0,4.5
bajaj,Bajaj Pulsar N125,124.58,56.0,11.83,125.0,93694.0,4.4
bajaj,Bajaj Freedom,125.0,56.56,9.3,149.0,104237.0,4.6
bajaj,Bajaj Platina 100,99.59,75.0,7.79,117.0,71038.0,4.5
bajaj,Bajaj Platina 110,115.45,70.0,8.48,119.0,75798.0,4.4
bajaj,Bajaj CT 110,115.45,70.0,8.48,127.0,74847.0,4.4
bajaj,Bajaj Pulsar 180,178.61,44.0,16.76,156.0,122925.0,4.4
bajaj,Bajaj Avenger Cruise 220,220.0,39.0,18.76,163.0,134155.0,4.4
bajaj,Bajaj Chetak C25,120.015,55.0,44.200507246376816,108.0,104599.0,4.5
bajaj,Bajaj Avenger Street 220,220.0,39.982142857142854,18.76,160.0,134101.0,4.1
royalenfield,Royal Enfield Hunter 350,349.34,35.0,20.2,181.0,137640.0,4.7
royalenfield,Royal Enfield Classic 350,349.0,34.0,20.2,195.0,187434.0,4.6
royalenfield,Royal Enfield Bullet 350,349.0,35.0,20.2,195.0,165656.0,4.7
royalenfield,Royal Enfield Himalayan 440,443.0,32.0,25.4,199.0,229000.0,4.6
royalenfield,Royal Enfield Continental GT 650,648.0,23.0,47.0,211.0,358427.0,4.7
royalenfield,Royal Enfield Meteor 350,349.34,32.0,20.2,191.0,199447.0,4.6
royalenfield,Royal Enfield Guerrilla 450,452.0,28.0,39.47,185.0,251063.0,4.7
royalenfield,Royal Enfield Himalayan 450,451.65,30.0,39.47,196.0,308029.0,4.7
royalenfield,Royal Enfield Super Meteor 650,648.0,25.0,46.3,241.0,405988.0,4.8
royalenfield,Royal Enfield Shotgun 650,648.0,23.0,46.39,240.0,401002.0,4.8
royalenfield,Royal Enfield Interceptor 650,648.0,24.0,47.0,218.0,337909.0,4.6
royalenfield,Royal Enfield Scram 440,443.0,30.0,25.4,196.0,224373.0,4.4
royalenfield,Royal Enfield Goan Classic 350,349.0,34.0,20.2,197.0,225311.0,4.8
royalenfield,Royal Enfield Classic 650,647.95,26.5,46.39,243.0,367592.0,4.7
royalenfield,Royal Enfield Bullet 650,647.95,22.045454545454547,46.39,243.0,364856.0,4.3
royalenfield,Royal Enfield Bear 650,648.0,24.0,46.8,216.0,378208.0,4.4
tvs,TVS Ronin,225.9,41.0,20.1,159.0,130314.0,4.6
tvs,TVS Raider 125,124.8,56.0,11.2,123.0,86397.0,4.4
tvs,TVS Apache RTR 160,159.7,45.0,15.82,137.0,110781.0,4.5
tvs,TVS Jupiter 125,124.8,48.0,8.04,108.0,87469.0,4.1
tvs,TVS Jupiter,113.3,49.0,7.91,105.0,77352.0,4.5
tvs,TVS Ntorq 125,124.8,43.0,9.25,111.0,90558.0,4.4
tvs,TVS Apache RTR 160 4V,159.7,45.0,17.31,144.0,116484.0,4.5
tvs,TVS Apache RTX,299.0,32.5,35.5,180.0,199496.0,4.7
tvs,TVS Apache RR 310,312.2,32.0,37.54,174.0,262265.0,4.7
