Brand,Bike_Name,CC,Mileage,Power,Weight,Price,Rating
bajaj,Bajaj Pulsar N160 2V,164.82 cc,47 kmpl,15.68 bhp,148 kg,"₹ 1,22,990",4.6
bajaj,Bajaj Pulsar NS400Z,349.13 cc,32 kmpl,40.04 bhp,176 kg,"₹ 1,86,150",4.5
bajaj,Bajaj Pulsar NS200,199.5 cc,36 kmpl,24.13 bhp,158 kg,"₹ 1,39,279",4.7
bajaj,Bajaj Pulsar N160 4V,164.5 cc,47.5 kmpl,18.24 bhp,151 kg,"₹ 1,34,479",4.5
bajaj,Bajaj Pulsar 125,124.4 cc,50 kmpl,11.8 bhp,,"₹ 93,507",3.4
bajaj,Bajaj Chetak,,70 kmph,3.1 kW,,"₹ 1,19,056",3.7
bajaj,Bajaj Pulsar NS125,124.45 cc,50 kmpl,11.8 bhp,144 kg,"₹ 94,043",4.5
bajaj,Bajaj Dominar 400,349.13 cc,30 kmpl,40.04 bhp,190 kg,"₹ 2,08,330",4.5
bajaj,Bajaj Pulsar 150,149.5 cc,47 kmpl,14 bhp,,"₹ 1,15,300",3.5
bajaj,Bajaj Pulsar N250,249 cc,40 kmpl,24.1 bhp,164 kg,"₹ 1,45,487",4.5
bajaj,Bajaj Pulsar NS160,160.3 cc,44 kmpl,17.03 bhp,152 kg,"₹ 1,26,819",4.6
bajaj,Bajaj Pulsar RS 200,199.5 cc,35 kmpl,24.1 bhp,167 kg,"₹ 1,80,863",4.7
bajaj,Bajaj Pulsar 220F,220 cc,43 kmpl,20.11 bhp,160 kg,"₹ 1,39,686",4.3
bajaj,Bajaj Dominar 250,248.8 cc,32 kmpl,26.63 bhp,180 kg,"₹ 1,86,825",4.5
bajaj,Bajaj Pulsar N125,124.58 cc,56 kmpl,11.83 bhp,125 kg,"₹ 93,694",4.4
bajaj,Bajaj Freedom,125 cc,,9.3 bhp,149 kg,"₹ 1,04,237",4.6
bajaj,Bajaj Platina 100,99.59 cc,75 kmpl,7.79 bhp,117 kg,"₹ 71,038",4.5
bajaj,Bajaj Platina 110,115.45 cc,70 kmpl,8.48 bhp,119 kg,"₹ 75,798",4.4
